Name	Type 1	Type 2	HP	Atk	Def	Tankiness	Basic Atk	PW	Type	STAB?	Spd (ms)	NRG	Quick Dmg	Charge Atk	PW	Type	STAB?	NRG	Crit%	Spd (ms)	Charge Dmg	Quicks to Full	QuickTime (ms)	Full Cycle DPS	Quick Only DPS	Defensive DPS	DPS %	Duel Ability	Duel %	Def Ability	Def %	1.5x Def
Snorlax	Normal		320	190	190	60800	Lick	5	Ghost	0	500	6	4	Hyper Beam	120	Normal	1	100	5	5000	96	17	8500	12.15	8.00	3.31	70.35%	738720	100.00%	201438	75.24%	#REF!
Snorlax	Normal		320	190	190	60800	Lick	5	Ghost	0	500	6	4	Body Slam	40	Normal	1	50	5	1560	32	9	4500	11.22	8.00	2.61	64.97%	682176	92.35%	158649	59.25%	#REF!
Vaporeon	Water		260	205	177	46020	Water Gun	6	Water	1	500	7	6	Hydro Pump	90	Water	1	100	5	3800	77	15	7500	14.78	12.00	3.86	85.58%	680176	92.07%	177491	66.29%	#REF!
Snorlax	Normal		320	190	190	60800	Zen Headbutt	12	Psychic	0	1050	9	8	Hyper Beam	120	Normal	1	100	5	5000	96	12	12600	10.91	7.62	4.40	63.17%	663328	89.79%	267743	100.00%	#REF!
Dragonite	Dragon	Flying	182	263	201	36582	Dragon Breath	6	Dragon	1	500	7	7	Dragon Claw	35	Dragon	1	50	25	1500	39	8	4000	17.27	14.00	4.04	100.00%	631771	85.52%	147885	55.23%	#REF!
Snorlax	Normal		320	190	190	60800	Lick	5	Ghost	0	500	6	4	Earthquake	100	Ground	0	100	5	4200	64	17	8500	10.39	8.00	2.71	60.16%	631712	85.51%	164797	61.55%	#REF!
Vaporeon	Water		260	205	177	46020	Water Gun	6	Water	1	500	7	6	Aqua Tail	45	Water	1	50	5	2350	39	8	4000	13.70	12.00	3.57	79.33%	630474	85.35%	164425	61.41%	#REF!
Snorlax	Normal		320	190	190	60800	Zen Headbutt	12	Psychic	0	1050	9	8	Body Slam	40	Normal	1	50	5	1560	32	6	6300	10.18	7.62	3.66	58.95%	618944	83.79%	222507	83.10%	#REF!
Dragonite	Dragon	Flying	182	263	201	36582	Dragon Breath	6	Dragon	1	500	7	7	Hyper Beam	120	Normal	0	100	5	5000	106	15	7500	16.88	14.00	4.74	97.74%	617504	83.59%	173456	64.78%	#REF!
Dragonite	Dragon	Flying	182	263	201	36582	Dragon Breath	6	Dragon	1	500	7	7	Dragon Pulse	65	Dragon	1	50	5	3600	72	8	4000	16.84	14.00	5.00	97.51%	616041	83.39%	182910	68.32%	#REF!
